"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,0,0,1,0,29697,291097061,29697,427393581,29697,291096432,29697,427394209
256,500,375,-2,"0.6",-1,1,0,0,2,0,29697,490805405,29697,627166879,29697,490804777,29697,627167508
256,500,375,-2,"0.6",-1,1,0,0,3,0,29697,690684376,29697,827245391,29697,690683817,29697,827245950
256,500,375,-2,"0.6",-1,1,0,0,4,0,29697,892177907,29698,31897640,29697,892177348,29698,31898199
256,500,375,-2,"0.6",-1,1,0,0,5,0,29698,152942901,29698,332357604,29698,152942063,29698,332358233
256,500,375,-2,"0.6",-1,1,0,0,6,0,29698,407944524,29698,545168698,29698,407943895,29698,545169257
256,500,375,-2,"0.6",-1,1,0,0,7,0,29698,610315422,29698,748496654,29698,610314863,29698,748497283
256,500,375,-2,"0.6",-1,1,0,0,8,0,29698,813968148,29698,952372179,29698,813967450,29698,952372808
256,500,375,-2,"0.6",-1,1,0,0,9,0,29699,20701926,29699,159445674,29699,20701298,29699,159446303
256,500,375,-2,"0.6",-1,1,0,0,10,0,29699,225090448,29699,363763934,29699,225089889,29699,363764492
256,500,375,-2,"0.6",-1,1,1,0,1,1,29699,819966026,29699,957335753,29699,819961905,29699,957368719
256,500,375,-2,"0.6",-1,1,1,0,2,1,29700,32445855,29700,168871235,29700,32419105,29700,168903293
256,500,375,-2,"0.6",-1,1,1,0,3,1,29700,228776803,29700,365322034,29700,228748238,29700,365356187
256,500,375,-2,"0.6",-1,1,1,0,4,1,29700,508628832,29700,661502301,29700,508610743,29700,661535476
256,500,375,-2,"0.6",-1,1,1,0,5,1,29700,771386866,29700,908662374,29700,771383653,29700,908698204
256,500,375,-2,"0.6",-1,1,1,0,6,1,29700,969913677,29701,106865603,29700,969896216,29701,106900874
256,500,375,-2,"0.6",-1,1,1,0,7,1,29701,165461127,29701,302098969,29701,165451418,29701,302133332
256,500,375,-2,"0.6",-1,1,1,0,8,1,29701,367117252,29701,503847636,29701,367106775,29701,503881650
256,500,375,-2,"0.6",-1,1,1,0,9,1,29701,563000087,29701,699800944,29701,562995338,29701,699834398
256,500,375,-2,"0.6",-1,1,1,0,10,1,29701,766112089,29701,902744554,29701,766094978,29701,902779685
256,500,375,-2,"0.6",-1,1,1,1,1,1,29701,965882315,29702,101492558,29701,965862130,29702,101524685
256,500,375,-2,"0.6",-1,1,1,1,2,1,29702,168411337,29702,303996367,29702,168394714,29702,304032406
256,500,375,-2,"0.6",-1,1,1,1,3,1,29702,409019093,29702,555744984,29702,409014204,29702,555755390
256,500,375,-2,"0.6",-1,1,1,1,4,1,29702,627487607,29702,764449172,29702,627484464,29702,764481160
256,500,375,-2,"0.6",-1,1,1,1,5,1,29702,823833013,29702,959462882,29702,823780281,29702,959494451
256,500,375,-2,"0.6",-1,1,1,1,6,1,29703,23996384,29703,160029457,29703,23993381,29703,160064727
256,500,375,-2,"0.6",-1,1,1,1,7,1,29703,228846777,29703,364694417,29703,228830504,29703,364730665
256,500,375,-2,"0.6",-1,1,1,1,8,1,29703,425596644,29703,561817873,29703,425580440,29703,561852236
256,500,375,-2,"0.6",-1,1,1,1,9,1,29703,682307813,29703,818096085,29703,682291260,29703,818131845
256,500,375,-2,"0.6",-1,1,1,1,10,1,29703,876856089,29704,12448592,29703,876837720,29704,12480790
256,500,375,-2,"0.6",-1,1,1,2,1,1,29704,84246042,29704,222804566,29704,84229908,29704,222840046
256,500,375,-2,"0.6",-1,1,1,2,2,1,29704,287767463,29704,425544095,29704,287764111,29704,425576922
256,500,375,-2,"0.6",-1,1,1,2,3,1,29704,482557606,29704,619208788,29704,482547898,29704,619224503
256,500,375,-2,"0.6",-1,1,1,2,4,1,29704,681479868,29704,818213256,29704,681460032,29704,818245663
256,500,375,-2,"0.6",-1,1,1,2,5,1,29704,883741462,29705,20487211,29704,883736712,29705,20519828
256,500,375,-2,"0.6",-1,1,1,2,6,1,29705,80568644,29705,217200759,29705,80564244,29705,217233376
256,500,375,-2,"0.6",-1,1,1,2,7,1,29705,274973114,29705,411656284,29705,274969133,29705,411689949
256,500,375,-2,"0.6",-1,1,1,2,8,1,29705,473779995,29705,612129689,29705,473772173,29705,612162794
256,500,375,-2,"0.6",-1,1,1,2,9,1,29705,670615000,29705,807419558,29705,670605432,29705,807451686
256,500,375,-2,"0.6",-1,1,1,2,10,1,29705,866749620,29706,3493414,29705,866740750,29706,3525053
256,500,375,-2,"0.6",-1,1,2,0,1,1,29706,72744040,29706,140303908,29706,72735101,29706,141671084
256,500,375,-2,"0.6",-1,1,2,0,1,2,29706,72748091,29706,141646081,29706,72735101,29706,141671084
256,500,375,-2,"0.6",-1,1,2,0,2,1,29706,207632247,29706,275061229,29706,207590760,29706,276572491
256,500,375,-2,"0.6",-1,1,2,0,2,2,29706,207630082,29706,276534357,29706,207590760,29706,276572491
256,500,375,-2,"0.6",-1,1,2,0,3,1,29706,370567851,29706,437939842,29706,370525387,29706,439576053
256,500,375,-2,"0.6",-1,1,2,0,3,2,29706,370561356,29706,439541271,29706,370525387,29706,439576053
256,500,375,-2,"0.6",-1,1,2,0,4,1,29706,510137073,29706,577528480,29706,510113396,29706,580287417
256,500,375,-2,"0.6",-1,1,2,0,4,2,29706,510134140,29706,580278616,29706,510113396,29706,580287417
256,500,375,-2,"0.6",-1,1,2,0,5,1,29706,647703129,29706,715108364,29706,647687693,29706,721298476
256,500,375,-2,"0.6",-1,1,2,0,5,2,29706,647697402,29706,721264184,29706,647687693,29706,721298476
256,500,375,-2,"0.6",-1,1,2,0,6,1,29706,802458655,29706,869857605,29706,802379873,29706,871390658
256,500,375,-2,"0.6",-1,1,2,0,6,2,29706,802470319,29706,871357623,29706,802379873,29706,871390658
256,500,375,-2,"0.6",-1,1,2,0,7,1,29706,953607980,29707,20960834,29706,953574106,29707,22474610
256,500,375,-2,"0.6",-1,1,2,0,7,2,29706,953641156,29707,22441086,29706,953574106,29707,22474610
256,500,375,-2,"0.6",-1,1,2,0,8,1,29707,125287575,29707,192614028,29707,125257403,29707,194151271
256,500,375,-2,"0.6",-1,1,2,0,8,2,29707,125320191,29707,194118375,29707,125257403,29707,194151271
256,500,375,-2,"0.6",-1,1,2,0,9,1,29707,258369433,29707,325727105,29707,258335000,29707,327267771
256,500,375,-2,"0.6",-1,1,2,0,9,2,29707,258372366,29707,327236412,29707,258335000,29707,327267771
256,500,375,-2,"0.6",-1,1,2,0,10,1,29707,387493499,29707,454912564,29707,387473454,29707,456388974
256,500,375,-2,"0.6",-1,1,2,0,10,2,29707,387511449,29707,456355031,29707,387473454,29707,456388974
256,500,375,-2,"0.6",-1,1,2,1,1,1,29707,523752933,29707,591130231,29707,523741478,29707,592024710
256,500,375,-2,"0.6",-1,1,2,1,1,2,29707,523746088,29707,592010462,29707,523741478,29707,592024710
256,500,375,-2,"0.6",-1,1,2,1,2,1,29707,652462831,29707,719847253,29707,652429096,29707,720761358
256,500,375,-2,"0.6",-1,1,2,1,2,2,29707,652493142,29707,720724131,29707,652429096,29707,720761358
256,500,375,-2,"0.6",-1,1,2,1,3,1,29707,791754985,29707,860034026,29707,791718946,29707,860070275
256,500,375,-2,"0.6",-1,1,2,1,3,2,29707,791759665,29707,859137033,29707,791718946,29707,860070275
256,500,375,-2,"0.6",-1,1,2,1,4,1,29707,929160332,29708,1445426,29707,929109696,29708,1539574
256,500,375,-2,"0.6",-1,1,2,1,4,2,29707,929143221,29708,1507865,29707,929109696,29708,1539574
256,500,375,-2,"0.6",-1,1,2,1,5,1,29708,67745885,29708,135137502,29708,67730939,29708,136084642
256,500,375,-2,"0.6",-1,1,2,1,5,2,29708,67742742,29708,136053143,29708,67730939,29708,136084642
256,500,375,-2,"0.6",-1,1,2,1,6,1,29708,205261375,29708,272622470,29708,205201310,29708,273673886
256,500,375,-2,"0.6",-1,1,2,1,6,2,29708,205243704,29708,273637078,29708,205201310,29708,273673886
256,500,375,-2,"0.6",-1,1,2,1,7,1,29708,341974089,29708,410227288,29708,341890627,29708,410258438
256,500,375,-2,"0.6",-1,1,2,1,7,2,29708,341950482,29708,409321914,29708,341890627,29708,410258438
256,500,375,-2,"0.6",-1,1,2,1,8,1,29708,477099831,29708,544951573,29708,477013086,29708,545920435
256,500,375,-2,"0.6",-1,1,2,1,8,2,29708,477111355,29708,545892567,29708,477013086,29708,545920435
256,500,375,-2,"0.6",-1,1,2,1,9,1,29708,613400053,29708,681746423,29708,613304019,29708,681784836
256,500,375,-2,"0.6",-1,1,2,1,9,2,29708,613383151,29708,680769320,29708,613304019,29708,681784836
256,500,375,-2,"0.6",-1,1,2,1,10,1,29708,746461237,29708,813865076,29708,746399636,29708,814911394
256,500,375,-2,"0.6",-1,1,2,1,10,2,29708,746480933,29708,814876891,29708,746399636,29708,814911394
256,500,375,-2,"0.6",-1,1,2,2,1,1,29708,885871287,29709,22505428,29708,885857807,29709,22542445
256,500,375,-2,"0.6",-1,1,2,2,1,2,29708,885867655,29708,885868773,29708,885857807,29709,22542445
256,500,375,-2,"0.6",-1,1,2,2,2,1,29709,89462900,29709,226046684,29709,89420156,29709,226081955
