"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,0,0,1,0,30458,424512612,30458,604308615,30458,424511843,30458,604309173
256,500,375,-2,"0.6",-1,1,0,0,2,0,30458,686934181,30458,825612228,30458,686933553,30458,825612856
256,500,375,-2,"0.6",-1,1,0,0,3,0,30458,902281376,30459,39766365,30458,902280817,30459,39766924
256,500,375,-2,"0.6",-1,1,0,0,4,0,30459,114549194,30459,252506391,30459,114548496,30459,252507020
256,500,375,-2,"0.6",-1,1,0,0,5,0,30459,324589440,30459,461699093,30459,324588812,30459,461699931
256,500,375,-2,"0.6",-1,1,0,0,6,0,30459,541857177,30459,680618826,30459,541856549,30459,680619455
256,500,375,-2,"0.6",-1,1,0,0,7,0,30459,756636339,30459,894562806,30459,756635711,30459,894563364
256,500,375,-2,"0.6",-1,1,0,0,8,0,30459,981623681,30460,122404280,30459,981623052,30460,122404909
256,500,375,-2,"0.6",-1,1,0,0,9,0,30460,204025714,30460,342340298,30460,204025156,30460,342340857
256,500,375,-2,"0.6",-1,1,0,0,10,0,30460,530830913,30460,694757126,30460,530830285,30460,694757754
256,500,375,-2,"0.6",-1,1,1,0,1,1,30461,168725315,30461,304999366,30461,168704013,30461,305032891
256,500,375,-2,"0.6",-1,1,1,0,2,1,30461,373569523,30461,512396614,30461,373549129,30461,512432304
256,500,375,-2,"0.6",-1,1,1,0,3,1,30461,574612946,30461,712031026,30461,574608476,30461,712063153
256,500,375,-2,"0.6",-1,1,1,0,4,1,30461,824172513,30461,978349275,30461,824142481,30461,978391949
256,500,375,-2,"0.6",-1,1,1,0,5,1,30462,57575444,30462,196786323,30462,57556796,30462,196819358
256,500,375,-2,"0.6",-1,1,1,0,6,1,30462,273843169,30462,410791834,30462,273810622,30462,410823752
256,500,375,-2,"0.6",-1,1,1,0,7,1,30462,486599818,30462,624541580,30462,486578446,30462,624573359
256,500,375,-2,"0.6",-1,1,1,0,8,1,30462,700743968,30462,838700955,30462,700728952,30462,838734690
256,500,375,-2,"0.6",-1,1,1,0,9,1,30462,905939346,30463,42349592,30462,905923632,30463,42383745
256,500,375,-2,"0.6",-1,1,1,0,10,1,30463,114206768,30463,252861976,30463,114189587,30463,252896129
256,500,375,-2,"0.6",-1,1,1,1,1,1,30463,334871877,30463,475631314,30463,334867268,30463,475676014
256,500,375,-2,"0.6",-1,1,1,1,2,1,30463,574944184,30463,722977767,30463,574938806,30463,723009615
256,500,375,-2,"0.6",-1,1,1,1,3,1,30463,910431563,30464,120251385,30463,910408864,30464,120296713
256,500,375,-2,"0.6",-1,1,1,1,4,1,30464,191949948,30464,331953684,30464,191945548,30464,331987139
256,500,375,-2,"0.6",-1,1,1,1,5,1,30464,411665751,30464,549018387,30464,411661351,30464,549053588
256,500,375,-2,"0.6",-1,1,1,1,6,1,30464,645847222,30464,797724682,30464,645824802,30464,797769382
256,500,375,-2,"0.6",-1,1,1,1,7,1,30464,875159589,30465,11795497,30464,875133747,30465,11828952
256,500,375,-2,"0.6",-1,1,1,1,8,1,30465,103458116,30465,251926681,30465,103428014,30465,251970682
256,500,375,-2,"0.6",-1,1,1,1,9,1,30465,317521457,30465,455926557,30465,317503717,30465,455961479
256,500,375,-2,"0.6",-1,1,1,1,10,1,30465,526899452,30465,665209356,30465,526894563,30465,665244418
256,500,375,-2,"0.6",-1,1,1,2,1,1,30465,765198446,30465,915724585,30465,765183010,30465,915775360
256,500,375,-2,"0.6",-1,1,1,2,2,1,30466,19046301,30466,167326499,30466,19019691,30466,167359186
